brand,phone_name,text,network,4g_bands,4g_band_count,5g_bands,5g_band_count,released_year,height_width_depth,height,width,depth,weight,resolution,ppi,display_width,display_height,display_ppi,display_size_str,display_size,display_type,os,chipset,ram,storage,type,main_camera,selfie_camera,bluetooth,battery,price
huawei,nova 11 SE,"network technology gsm / cdma / hspa / cdma2000 / lte 2g bands gsm 850 / 900 / 1800 / 1900 - sim 1 & sim 2 cdma 800 3g bands hsdpa 850 / 900 / 1700(aws) / 1900 / 2100 cdma2000 1x 4g bands 1, 3, 4, 5, 8, 18, 19, 26, 34, 38, 39, 40, 41 speed hspa, lte-a launch announced 2023, october 31 status available. released 2023, november 03 body dimensions 162.4 x 75.5 x 7.4 mm (6.39 x 2.97 x 0.29 in) weight 186 g (6.56 oz) sim dual sim (nano-sim, dual stand-by) display type oled, 1b colors, 90hz size 6.67 inches, 107.4 cm2 (~87.6% screen-to-body ratio) resolution 1080 x 2400 pixels, 20:9 ratio (~395 ppi density) platform os harmonyos 4.0 chipset qualcomm snapdragon 680 4g (6 nm) cpu octa-core (4x2.4 ghz cortex-a73 & 4x1.9 ghz cortex-a53) gpu adreno 610 memory card slot no internal 256gb, 512gb main camera triple 108 mp, f/1.9, (wide), 1/1.67"", 0.64µm, pdaf
8 mp, f/2.2, 112˚ (ultrawide)
2 mp, f/2.4, (macro) features led flash, hdr, panorama video 1080p@30fps selfie camera single 32 mp, f/2.5, (wide) video 1080p@30fps sound loudspeaker yes 3.5mm jack no comms wlan wi-fi 802.11 a/b/g/n/ac, dual-band bluetooth 5.0, a2dp, le positioning gps, glonass, galileo, bds, qzss nfc yes radio no usb usb type-c 2.0 features sensors fingerprint (side-mounted), accelerometer, gyro, proximity, compass battery type li-po 4500 mah, non-removable charging 66w wired, 100% in 32 min (advertised)
5w reverse wired misc colors green, white, black models bon-al00 price about 260 eur ",lte,1 3 4 5 8 18 19 26 34 38 39 40,12,0,0,2023,162.4 75.5 7.4,162.4,75.5,7.4,186,1080 2400,395,1080.0,2400.0,395.0,6.7,6.7,oled 90hz,harmony4.0,snapdragon680,0,256gb 512gb,0,108mp,32mp,bluetooth5.0,4500mah,23140.0
huawei,Mate 60 Pro+,"network technology gsm / cdma / hspa / cdma2000 / lte / 5g 2g bands gsm 850 / 900 / 1800 / 1900 - sim 1 & sim 2 cdma 800 3g bands hsdpa 800 / 850 / 900 / 1700(aws) / 1900 / 2100 cdma2000 1x 4g bands lte 5g bands sa/nsa speed hspa, lte-a, 5g launch announced 2023, september 08 status available. released 2023, september 27 body dimensions 163.7 x 79 x 8.1 mm (6.44 x 3.11 x 0.32 in) weight 225 g (7.94 oz) build glass front, aluminum frame, glass back sim hybrid dual sim (nano-sim, dual stand-by) ip68 dust/water resistant (up to 6m for 30 min) display type ltpo oled, 1b colors, 120hz size 6.82 inches, 114.4 cm2 (~88.5% screen-to-body ratio) resolution 1260 x 2720 pixels, 19.5:9 ratio (~440 ppi density) protection huawei kunlun glass 2 platform os harmonyos 4.0 (china) chipset kirin 9000s (7 nm) cpu octa-core (1x2.62 ghz cortex-a720 & 3x2.15 ghz cortex-a720 & 4x1.53ghz cortex-a510) gpu maleoon 910 gpu memory card slot nm (nano memory), up to 256gb (uses shared sim slot) internal 512gb 16gb ram, 1tb 16gb ram ufs main camera triple 48 mp, f/1.4-f/4.0, 24mm (wide), pdaf, laser af, ois
48 mp, f/3.0, 90mm (periscope telephoto), pdaf, ois, 3.5x optical zoom
40 mp, f/2.2, 13mm, 120˚ (ultrawide), pdaf features led flash, panorama, hdr video 4k@30/60fps, 1080p@30/60/120/240/480fps, 720p@960fps, 720p@3840fps, hdr, gyro-eis selfie camera single 13 mp, f/2.4, 18mm (ultrawide)
tof 3d, (depth/biometrics sensor) features hdr, panorama video 4k@30/60fps, 1080p@30/60/240fps sound loudspeaker yes, with stereo speakers 3.5mm jack no 32-bit/384khz audio comms wlan wi-fi 802.11 a/b/g/n/ac/6, dual-band, wi-fi direct bluetooth 5.2, a2dp, le positioning gps (l1+l5), glonass (l1), bds (b1i+b1c+b2a+b2b), galileo (e1+e5a+e5b), qzss (l1+l5), navic (l5) nfc yes infrared port yes radio no usb usb type-c 3.1, otg, displayport 1.2 features sensors face id, fingerprint (under display, optical), accelerometer, gyro, proximity, barometer, compass, color spectrum bds satellite calling and message battery type li-po 5000 mah, non-removable charging 88w wired, 100% in 30 min (advertised)
50w wireless
20w reverse wireless misc colors black, light gold models aln-al10 ",lte  5g,1,1,1,1,2023,163.7 79 8.1,163.7,79.0,8.1,225,1260 2720,440,1260.0,2720.0,440.0,6.8,6.8,ltpo oled 120hz,harmony4.0,kirin9000s,16gb ,1tb 512gb,ufs,48mp,13mp,bluetooth5.2,5000mah,0.0
huawei,Mate X5,"network technology gsm / cdma / hspa / evdo / lte / 5g 2g bands gsm 850 / 900 / 1800 / 1900 - sim 1 & sim 2 cdma 800 3g bands hsdpa 800 / 850 / 900 / 1700(aws) / 1900 / 2100 cdma2000 1xev-do 4g bands lte 5g bands sa/nsa speed hspa, lte-a, 5g launch announced 2023, september 08 status available. released 2023, september 16 body dimensions unfolded: 156.9 x 141.5 x 5.3 mmfolded: 156.9 x 72.4 x 11.1 mm weight 243 g or 245 g (8.57 oz) build glass front, glass back or eco leather back, aluminum frame sim hybrid dual sim (nano-sim, dual stand-by) ipx8 dust/water resistant (up to 1.5m for 30 min)
stylus support (both displays) display type foldable oled, 1b colors, 120hz size 7.85 inches, 197.5 cm2 (~88.9% screen-to-body ratio) resolution 2224 x 2496 pixels (~426 ppi density) protection kunlun glass (cover display only) cover display:
oled, 120hz, 6.4 inches, 1080 x 2504 pixels platform os harmonyos 4.0 (china), emui (europe), no google play services chipset kirin 9000s (7 nm) cpu octa-core (1x2.62 ghz cortex-a720 & 3x2.15 ghz cortex-a720 & 4x1.53ghz cortex-a510) gpu maleoon 910 gpu memory card slot nm (nano memory), up to 256gb (uses shared sim slot) internal 256gb 12gb ram, 512gb 12gb ram, 512gb 16gb ram, 1tb 16gb ram ufs main camera triple 50 mp, f/1.8, 23mm (wide), pdaf, laser af, ois
12 mp, f/3.4, 125mm (periscope telephoto), pdaf, ois, 5x optical zoom
13 mp, f/2.2, 13mm (ultrawide), af features led flash, panorama, hdr video 4k@30/60fps, 1080p@30/60fps, gyro-eis selfie camera single 8 mp, f/2.4, (wide)
cover camera:
8 mp, f/2.4, (wide) features hdr, panorama video 4k@30fps, 1080p@30fps sound loudspeaker yes, with stereo speakers 3.5mm jack no comms wlan wi-fi 802.11 a/b/g/n/ac/6, dual-band, wi-fi direct bluetooth 5.2, a2dp, le positioning gps (l1+l5), glonass (l1), bds (b1i+b1c+b2a+b2b), galileo (e1+e5a+e5b), qzss (l1+l5), navic (l5) nfc yes; nfc-sim, hce infrared port yes radio no usb usb type-c 3.1, displayport 1.2, otg features sensors fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer, altimeter, color spectrum bds satellite calling and message battery type silicon-carbon 5060 mah, non-removable - china only charging 66w wired
50w wireless
7.5w reverse wireless misc colors black, white, purple, dark green, gold models alt-al10 ",lte  5g,1,1,1,1,2023,156.9 141.5 5.3,156.9,141.5,5.3,243,2224 2496,426,2224.0,2496.0,426.0,7.8,7.8,oled 120hz,harmony4.0,kirin9000s,12gb  16gb ,1tb 256gb 512gb,ufs,50mp,8mp,bluetooth5.2,5060mah,0.0
huawei,Mate 60 Pro,"network technology gsm / cdma / hspa / cdma2000 / lte / 5g 2g bands gsm 850 / 900 / 1800 / 1900 - sim 1 & sim 2 cdma 800 3g bands hsdpa 800 / 850 / 900 / 1700(aws) / 1900 / 2100 cdma2000 1x 4g bands lte 5g bands sa/nsa speed hspa, lte-a, 5g launch announced 2023, august 29 status available. released 2023, august 29 body dimensions 163.7 x 79 x 8.1 mm (6.44 x 3.11 x 0.32 in) weight 225 g (7.94 oz) build glass front, aluminum frame, glass back sim hybrid dual sim (nano-sim, dual stand-by) ip68 dust/water resistant (up to 6m for 30 min) display type ltpo oled, 1b colors, 120hz size 6.82 inches, 114.4 cm2 (~88.5% screen-to-body ratio) resolution 1260 x 2720 pixels, 19.5:9 ratio (~440 ppi density) protection huawei kunlun glass 2 platform os harmonyos 4.0 (china) chipset kirin 9000s (7 nm) cpu octa-core (1x2.62 ghz cortex-a720 & 3x2.15 ghz cortex-a720 & 4x1.53ghz cortex-a510) gpu maleoon 910 gpu memory card slot nm (nano memory), up to 256gb (uses shared sim slot) internal 256gb 12gb ram, 512gb 12gb ram, 1tb 12gb ram ufs main camera triple 50 mp, f/1.4-f/4.0, 24mm (wide), pdaf, laser af, ois
48 mp, f/3.5, 90mm (periscope telephoto), pdaf, ois, 3.5x optical zoom
12 mp, f/2.2, 13mm, 120˚ (ultrawide), pdaf features led flash, panorama, hdr video 4k@30/60fps, 1080p@30/60/120/240/480fps, 720p@960fps, 720p@3840fps, hdr, gyro-eis selfie camera single 13 mp, f/2.4, 18mm (ultrawide)
tof 3d, (depth/biometrics sensor) features hdr, panorama video 4k@30/60fps, 1080p@30/60/240fps sound loudspeaker yes, with stereo speakers 3.5mm jack no 32-bit/384khz audio comms wlan wi-fi 802.11 a/b/g/n/ac/6, dual-band, wi-fi direct bluetooth 5.2, a2dp, le positioning gps (l1+l5), glonass (l1), bds (b1i+b1c+b2a+b2b), galileo (e1+e5a+e5b), qzss (l1+l5), navic (l5) nfc yes infrared port yes radio no usb usb type-c 3.1, otg, displayport 1.2 features sensors face id, fingerprint (under display, optical), accelerometer, gyro, proximity, barometer, compass, color spectrum bds satellite calling and message battery type li-po 5000 mah, non-removable charging 88w wired, 100% in 30 min (advertised)
50w wireless
20w reverse wireless misc colors black, white, green, purple models aln-al00, aln-al80 price about 890 eur ",lte  5g,1,1,1,1,2023,163.7 79 8.1,163.7,79.0,8.1,225,1260 2720,440,1260.0,2720.0,440.0,6.8,6.8,ltpo oled 120hz,harmony4.0,kirin9000s,12gb ,1tb 256gb 512gb,ufs,50mp,13mp,bluetooth5.2,5000mah,79210.0
huawei,nova Y91,"network technology gsm / hspa / lte 2g bands gsm 850 / 900 / 1800 / 1900 - sim 1 & sim 2 3g bands hsdpa 850 / 900 / 1700(aws) / 1900 / 2100 4g bands 1, 2, 3, 4, 5, 7, 8, 13, 20, 26, 28, 38, 40, 41, 66 speed hspa, lte-a launch announced 2023, may 23 status available. released 2023, june 10 body dimensions 171.6 x 79.9 x 8.9 mm (6.76 x 3.15 x 0.35 in) weight 214 g (7.55 oz) sim single sim (nano-sim) or dual sim (nano-sim, dual stand-by) splash and dust resistant display type ips lcd, 90hz size 6.95 inches, 117.4 cm2 (~85.6% screen-to-body ratio) resolution 1080 x 2376 pixels (~376 ppi density) platform os emui 13, no google play services chipset qualcomm snapdragon 680 4g (6 nm) cpu octa-core (4x2.4 ghz cortex-a73 & 4x1.9 ghz cortex-a53) gpu adreno 610 memory card slot unspecified internal 128gb 6gb ram, 128gb 8gb ram, 256gb 8gb ram main camera dual 50 mp, f/1.8, (wide), pdaf
2 mp, (depth) features led flash, hdr, panorama video 1080p@30fps selfie camera single 8 mp, f/2.0, (wide) video 1080p@30fps sound loudspeaker yes, with stereo speakers 3.5mm jack no comms wlan wi-fi 802.11 a/b/g/n/ac, dual-band bluetooth 5.0, a2dp, le positioning gps, glonass, galileo, bds, qzss nfc no radio no usb usb type-c 2.0 features sensors fingerprint (side-mounted), accelerometer, proximity, gyro, compass battery type li-po 7000 mah, non-removable charging 22.5w wired misc colors starry black, moonlight silver models stg-lx1, stg-lx2 price about 280 eur ",lte,1 2 3 4 5 7 8 13 20 26 28 38 40 41,14,0,0,2023,171.6 79.9 8.9,171.6,79.9,8.9,214,1080 2376,376,1080.0,2376.0,376.0,7.0,7.0,ips lcd 90hz,emui13,snapdragon680,6gb  8gb ,128gb 256gb,0,50mp,8mp,bluetooth5.0,7000mah,24920.0
huawei,nova 11i,"network technology gsm / hspa / lte 2g bands gsm 850 / 900 / 1800 / 1900 - sim 1 & sim 2 3g bands hsdpa 850 / 900 / 1700(aws) / 1900 / 2100 4g bands 1, 2, 3, 4, 5, 7, 8, 13, 20, 28, 66, 26, 38, 40, 41 speed hspa, lte-a launch announced 2023, may 01 status available. released 2023, may 11 body dimensions 164.6 x 75.6 x 8.6 mm (6.48 x 2.98 x 0.34 in) weight 193 g (6.81 oz) sim single sim (nano-sim) or dual sim (nano-sim, dual stand-by) splash and dust resistant display type ips lcd, 90hz size 6.8 inches, 112.0 cm2 (~90.0% screen-to-body ratio) resolution 1080 x 2388 pixels (~385 ppi density) platform os emui 13 chipset qualcomm snapdragon 680 4g (6 nm) cpu octa-core (4x2.4 ghz cortex-a73 & 4x1.9 ghz cortex-a53) gpu adreno 610 memory card slot unspecified internal 128gb 8gb ram, 256gb 8gb ram main camera dual 48 mp, f/1.8, (wide), pdaf
2 mp, (depth) features led flash, hdr, panorama video 1080p@30fps selfie camera single 16 mp, f/2.2, (wide) video 1080p@30fps sound loudspeaker yes 3.5mm jack no comms wlan wi-fi 802.11 a/b/g/n/ac, dual-band bluetooth 5.0, a2dp, le positioning gps, glonass, galileo, bds, qzss nfc no radio no usb usb type-c 2.0 features sensors fingerprint (side-mounted), accelerometer, compass battery type li-po 5000 mah, non-removable charging 40w wired, 60% in 30 min (advertised) misc colors starry black, mint green models mao-lx9 price $ 385.00 / € 226.20 ",lte,1 2 3 4 5 7 8 13 20 26 28 38 40 66,14,0,0,2023,164.6 75.6 8.6,164.6,75.6,8.6,193,1080 2388,385,1080.0,2388.0,385.0,6.8,6.8,ips lcd 90hz,emui13,snapdragon680,8gb ,128gb 256gb,0,48mp,16mp,bluetooth5.0,5000mah,20114.0
huawei,nova Y71,"network technology gsm / hspa / lte 2g bands gsm 850 / 900 / 1800 / 1900 - sim 1 & sim 2 (dual-sim) 3g bands hsdpa 850 / 900 / 1900 / 2100 4g bands 1, 3, 5, 7, 8, 20, 28, 38, 40, 41 speed hspa, lte launch announced 2023, may 09 status available. released 2023, june body dimensions 168.3 x 77.7 x 9 mm (6.63 x 3.06 x 0.35 in) weight 199 g (7.02 oz) sim single sim (nano-sim) or dual sim (nano-sim, dual stand-by) display type ips lcd size 6.75 inches, 110.0 cm2 (~84.1% screen-to-body ratio) resolution 720 x 1600 pixels, 20:9 ratio (~260 ppi density) platform os emui 12, no google play services chipset kirin 710a (14 nm) cpu octa-core (4x2.0 ghz cortex-a73 & 4x1.7 ghz cortex-a53) gpu mali-g51 mp4 memory card slot microsdxc (uses shared sim slot) internal 128gb 8gb ram main camera triple 48 mp, f/1.8, 26mm (wide), pdaf
5 mp, f/2.2, 120˚ (ultrawide)
2 mp, f/2.4, (depth) features led flash, hdr, panorama video 1080p@30fps selfie camera single 8 mp, f/2.0 features hdr video 1080p@30fps sound loudspeaker yes 3.5mm jack yes comms wlan wi-fi 802.11 b/g/n bluetooth 5.1, a2dp, le positioning gps, glonass, galileo, bds, qzss nfc no radio no usb usb type-c 2.0, otg features sensors fingerprint (side-mounted), accelerometer, proximity, compass battery type li-po 6000 mah, non-removable charging 22.5w wired misc colors black, gold price about 190 eur ",lte,1 3 5 7 8 20 28 38 40,9,0,0,2023,168.3 77.7 9,168.3,77.7,9.0,199,720 1600,260,720.0,1600.0,260.0,6.8,6.8,ips lcd,emui12,kirin710a,8gb ,128gb,0,48mp,8mp,bluetooth5.1,6000mah,16910.0
huawei,Enjoy 60X,"network technology gsm / hspa / lte 2g bands gsm 850 / 900 / 1800 / 1900 - sim 1 & sim 2 3g bands hsdpa 850 / 900 / 2100 4g bands 1, 3, 5, 8, 34, 38, 39, 40, 41 speed hspa, lte launch announced 2023, april 17 status available. released 2023, april 27 body dimensions 171.6 x 79.9 x 8.9 mm (6.76 x 3.15 x 0.35 in) weight 216 g (7.62 oz) sim dual sim (nano-sim, dual stand-by) display type tft lcd, 90hz size 6.95 inches, 117.4 cm2 (~85.6% screen-to-body ratio) resolution 1080 x 2376 pixels (~376 ppi density) platform os harmonyos 3.0 chipset qualcomm sm6225 snapdragon 680 4g (6 nm) cpu octa-core (4x2.4 ghz kryo 265 gold & 4x1.9 ghz kryo 265 silver) gpu adreno 610 memory card slot no internal 128gb 8gb ram, 256gb 8gb ram, 512gb 8gb ram main camera dual 50 mp, 26mm (wide), 1/1.8"", pdaf
2 mp, f/2.4, (depth) features led flash, hdr, panorama video 1080p@30fps selfie camera single 8 mp, f/2.0, (wide) video 1080p@30fps sound loudspeaker yes, with stereo speakers 3.5mm jack no comms wlan wi-fi 802.11 a/b/g/n/ac, dual-band bluetooth 5.0, a2dp, le positioning gps, glonass, galileo, bds, qzss nfc yes; nfc-sim, hce radio unspecified usb usb type-c 2.0, otg features sensors fingerprint (side-mounted), accelerometer, gyro, proximity, compass battery type li-po 7000 mah, non-removable charging 22.5w wired
22.5w reverse wired (512gb only) misc colors black, silver, green, orange models stg-al00 price about 230 eur ",lte,1 3 5 8 34 38 39 40,8,0,0,2023,171.6 79.9 8.9,171.6,79.9,8.9,216,1080 2376,376,1080.0,2376.0,376.0,7.0,7.0,tft lcd 90hz,harmony3.0,snapdragon680,8gb ,128gb 256gb 512gb,0,50mp,8mp,bluetooth5.0,7000mah,20470.0
huawei,nova 11 Ultra,"network technology gsm / cdma / hspa / cdma2000 / lte 2g bands gsm 850 / 900 / 1800 / 1900 - sim 1 & sim 2 cdma 800 3g bands hsdpa 800 / 850 / 900 / 1700(aws) / 1900 / 2100 cdma2000 1x 4g bands 1, 3, 4, 5, 8, 18, 19, 26, 34, 38, 39, 40, 41 speed hspa, lte-a launch announced 2023, april 17 status available. released 2023, april 27 body dimensions 164.3 x 74.4 x 7.9 mm (6.47 x 2.93 x 0.31 in) weight 188 g (6.63 oz) sim dual sim (nano-sim, dual stand-by) display type oled, 1b colors, hdr10, 120hz size 6.78 inches, 111.4 cm2 (~91.1% screen-to-body ratio) resolution 1200 x 2652 pixels (~429 ppi density) protection kunlun glass platform os harmonyos 3.0 chipset qualcomm sm7325 snapdragon 778g 4g (6 nm) cpu octa-core (4x2.4 ghz kryo 670 & 4x1.8 ghz kryo 670) gpu adreno 642l memory card slot no internal 512gb main camera dual 50 mp, f/1.4-f/4.0, 25mm (wide), pdaf, laser af
8 mp, f/2.2, 112˚ (ultrawide), af features led flash, panorama, hdr video 4k, 1080p, 720p@960fps, gyro-eis selfie camera dual 8 mp, f/2.2, 52mm (portrait), af
60 mp, f/2.4, 17mm, 100˚ (ultrawide), af features hdr video 4k@30fps, 1080p@30fps, gyro-eis sound loudspeaker yes, with stereo speakers 3.5mm jack no comms wlan wi-fi 802.11 a/b/g/n/a/6, dual-band, wi-fi direct bluetooth 5.2, a2dp, le positioning gps (l1+l5), glonass (l1), bds (b1i+b1c+b2a), galileo (e1+e5a), qzss (l1+l5), navic nfc yes; nfc-sim, hce radio no usb usb type-c 2.0, otg features sensors fingerprint (under display, optical), accelerometer, gyro, compass, color spectrum virtual proximity sensing
bds satellite message (emergency sos service) battery type li-po 4500 mah, non-removable charging 100w wired, 20-80% in 10 min (advertised)
reverse wired misc colors black, green models goa-al80u price about 590 eur ",lte,1 3 4 5 8 18 19 26 34 38 39 40,12,0,0,2023,164.3 74.4 7.9,164.3,74.4,7.9,188,1200 2652,429,1200.0,2652.0,429.0,6.8,6.8,oled 120hz,harmony3.0,snapdragon778g,0,512gb,0,50mp,8mp,bluetooth5.2,4500mah,52510.0
huawei,nova 11 Pro,"network technology gsm / cdma / hspa / cdma2000 / lte 2g bands gsm 850 / 900 / 1800 / 1900 - sim 1 & sim 2 (dual sim model only) cdma 800 3g bands hsdpa 800 / 850 / 900 / 1700(aws) / 1900 / 2100 cdma2000 1x 4g bands 1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 38, 40, 41, 66 - international 1, 3, 4, 5, 8, 18, 19, 26, 34, 38, 39, 40, 41 - china speed hspa, lte-a launch announced 2023, april 17 status available. released 2023, april 27 body dimensions 164.3 x 74.4 x 7.9 mm (6.47 x 2.93 x 0.31 in) weight 188 g or 193 g (6.63 oz) build glass front, glass back or eco leather back sim single sim (nano-sim) or dual sim (nano-sim, dual stand-by) display type oled, 1b colors, hdr10, 120hz size 6.78 inches, 111.4 cm2 (~91.1% screen-to-body ratio) resolution 1200 x 2652 pixels (~429 ppi density) protection kunlun glass platform os harmonyos 3.0 chipset qualcomm sm7325 snapdragon 778g 4g (6 nm) cpu octa-core (4x2.4 ghz kryo 670 & 4x1.8 ghz kryo 670) gpu adreno 642l memory card slot no internal 256gb 8gb ram, 512gb 8gb ram main camera dual 50 mp, f/1.9, (wide), pdaf, laser af
8 mp, f/2.2, 112˚ (ultrawide), af features led flash, panorama, hdr video 4k, 1080p, 720p@960fps, gyro-eis selfie camera dual 8 mp, f/2.2, 52mm (portrait), af
60 mp, f/2.4, 17mm, 100˚ (ultrawide), af features hdr video 4k@30fps, 1080p@30fps, gyro-eis sound loudspeaker yes, with stereo speakers 3.5mm jack no comms wlan wi-fi 802.11 a/b/g/n/a/6, dual-band, wi-fi direct bluetooth 5.2, a2dp, le positioning gps (l1+l5), glonass (l1), bds (b1i+b1c+b2a), galileo (e1+e5a), qzss (l1+l5), navic nfc yes; nfc-sim, hce radio no usb usb type-c 2.0, otg features sensors fingerprint (under display, optical), accelerometer, gyro, compass, color spectrum virtual proximity sensing battery type li-po 4500 mah, non-removable charging 100w wired, 50% in 15 min (advertised)
reverse wired misc colors black, green, white, gold models goa-al80, goa-lx9 price $ 600.00 / € 649.00 tests performance antutu: 519036 (v9), 596434 (v10)
geekbench: 3008 (v5.5), 2464 (v6.0)
gfxbench: 23fps (es 3.1 onscreen) display contrast ratio: infinite (nominal) camera photo / video loudspeaker -29.6 lufs (average) battery (old) endurance rating 89h ",lte,1 2 3 4 5 7 8 12 13 17 18 19 20 26 28 34 38 39 40 41,20,0,0,2023,164.3 74.4 7.9,164.3,74.4,7.9,188,1200 2652,429,1200.0,2652.0,429.0,6.8,6.8,oled 120hz,harmony3.0,snapdragon778g,8gb ,256gb 512gb,0,50mp,8mp,bluetooth5.2,4500mah,57761.0
